id,user_id,point_type,source_type,source_id,delta,balance_after,remark,created_at
1,1,VIRTUE,DEED_REVIEW,1,10,10,提交记录奖励,2025-10-11 06:47:48.647
2,1,VIRTUE,DEED_REVIEW,2,10,20,提交记录奖励,2025-10-11 08:57:03.342
3,1,VIRTUE,ADJUST,,50,50,管理员调整,2025-10-11 17:07:52.230
4,1,VIRTUE,ADJUST,,-10,40,兑换,2025-10-11 17:07:52.230
5,1,VIRTUE,DEED_REVIEW,2,100,140,长老评审,2025-10-13 03:38:08.027
6,1,VIRTUE,DEED_REVIEW,3,10,150,提交记录奖励,2025-10-13 03:40:23.607
7,1,VIRTUE,DEED_REVIEW,3,10,160,长老评审,2025-10-13 05:23:15.800
8,3,VIRTUE,DEED_REVIEW,4,10,10,长老评审,2025-10-13 07:25:37.621
9,4,VIRTUE,DEED_REVIEW,5,10,10,长老评审,2025-10-13 07:45:57.456
10,4,VIRTUE,DEED_REVIEW,6,10,20,长老评审,2025-10-13 08:07:22.152
11,4,VIRTUE,DEED_REVIEW,7,10,30,长老评审,2025-10-13 08:23:59.291
12,2,VIRTUE,DEED_REVIEW,8,10,10,长老评审,2025-11-03 03:02:20.973
13,2,VIRTUE,DEED_REVIEW,9,10,20,长老评审,2025-11-03 05:54:12.065
